Ref,Val,Package,PosX,PosY,Rot,Side
"C2","0.1uF","C_0402_1005Metric",70.270000,-73.750000,0.000000,top
"C3","22uF","C_0402_1005Metric",67.500000,-73.750000,180.000000,top
"C4","0.1uF","C_0402_1005Metric",67.500000,-72.500000,180.000000,top
"IC1","L9110S","SOIC127P600X150-8",86.000000,-98.750000,180.000000,top
"IC2","L9110S","SOIC127P600X150-8",86.000000,-93.000000,180.000000,top
"IC3","L9110S","SOIC127P600X150-8",86.000000,-104.500000,180.000000,top
"J1","Conn_01x10_Female","Hirose_DF13-10P-1.25DSA_1x10_P1.25mm_Vertical",96.100000,-72.475000,-90.000000,top
"J2","I2C_STANDARDQWIIC","1X04_1MM_RA",69.776285,-79.000000,-90.000000,top
"J3","Conn_01x02_Female","PinSocket_1x02_P2.54mm_Vertical",71.950000,-102.775000,90.000000,top
"J4","Conn_01x05_Female","PinHeader_1x05_P2.54mm_Vertical",66.525000,-88.550000,0.000000,top
"J5","Conn_01x05_Female","PinHeader_1x05_P2.54mm_Vertical",69.775000,-88.550000,0.000000,top
"J6","Conn_01x05_Female","PinHeader_1x05_P2.54mm_Vertical",73.025000,-88.550000,0.000000,top
"J7","Conn_01x12_Female","Hirose_DF13-12P-1.25DSA_1x12_P1.25mm_Vertical",96.100000,-87.575000,-90.000000,top
"J8","Conn_01x02_Female","PinSocket_1x02_P2.54mm_Vertical",71.950000,-105.725000,90.000000,top
"R1","10K","R_0402_1005Metric",70.250000,-72.500000,0.000000,top
"R2","10K","R_0402_1005Metric",70.250000,-83.250000,90.000000,top
"R3","10K","R_0402_1005Metric",69.000000,-83.250000,90.000000,top
"R4","10K","R_0402_1005Metric",80.250000,-99.250000,180.000000,top
"R5","10K","R_0402_1005Metric",80.250000,-98.000000,180.000000,top
"R6","10K","R_0402_1005Metric",80.500000,-92.250000,180.000000,top
"R7","10K","R_0402_1005Metric",80.250000,-105.000000,180.000000,top
"R8","10K","R_0402_1005Metric",80.250000,-103.750000,180.000000,top
"R9","10K","R_0402_1005Metric",80.500000,-93.650000,180.000000,top
"U1","ESP32-WROOM-32D","ESP32-WROOM-32",81.250000,-75.940000,0.000000,top
